neighbourhood,price per night,price per year
East New York,29,10585
Bedford-Stuyvesant,99,36135
Chinatown,200,73000
Bay Ridge,99,36135
Flatbush,90,32850
Bushwick,65,23725
Greenwich Village,200,73000
East Village,175,63875
Greenwich Village,600,219000
Greenpoint,250,91250
Bushwick,200,73000
Sunnyside,130,47450
Gowanus,125,45625
Williamsburg,250,91250
Financial District,60,21900
Kew Gardens Hills,90,32850
Bedford-Stuyvesant,60,21900
Williamsburg,50,18250
Cypress Hills,60,21900
Bushwick,85,31025
Bedford-Stuyvesant,55,20075
Fort Greene,250,91250
Williamsburg,85,31025
Kips Bay,355,129575
Upper East Side,260,94900
Williamsburg,55,20075
Bedford-Stuyvesant,150,54750
Bedford-Stuyvesant,55,20075
Bushwick,58,21170
Bedford-Stuyvesant,110,40150
Williamsburg,90,32850
Upper West Side,90,32850
Midtown,399,145635
Bedford-Stuyvesant,55,20075
Bedford-Stuyvesant,55,20075
Bedford-Stuyvesant,72,26280
Upper East Side,123,44895
Bedford-Stuyvesant,59,21535
Washington Heights,45,16425
Williamsburg,95,34675
Harlem,65,23725
Midtown,260,94900
Upper West Side,260,94900
Ditmars Steinway,73,26645
Williamsburg,60,21900
Prospect-Lefferts Gardens,25,9125
Williamsburg,150,54750
Upper West Side,285,104025
Brooklyn Heights,1000,365000
Flatbush,81,29565
Woodside,38,13870
Canarsie,70,25550
Sunnyside,29,10585
Upper East Side,160,58400
Canarsie,98,35770
Flatbush,98,35770
Flatbush,98,35770
Cypress Hills,150,54750
Bedford-Stuyvesant,35,12775
Bedford-Stuyvesant,50,18250
East Village,265,96725
Bedford-Stuyvesant,211,77015
Upper West Side,160,58400
Hell's Kitchen,99,36135
SoHo,170,62050
Chelsea,299,109135
Bedford-Stuyvesant,150,54750
Bedford-Stuyvesant,200,73000
Bushwick,140,51100
Williamsburg,220,80300
East Flatbush,35,12775
Battery Park City,125,45625
Bedford-Stuyvesant,90,32850
Hell's Kitchen,99,36135
Williamsbridge,350,127750
Long Island City,70,25550
Morningside Heights,98,35770
Harlem,40,14600
Prospect-Lefferts Gardens,150,54750
Inwood,66,24090
Upper East Side,200,73000
Williamsburg,100,36500
Bedford-Stuyvesant,75,27375
East Village,150,54750
Park Slope,125,45625
Morningside Heights,85,31025
Bedford-Stuyvesant,175,63875
Morningside Heights,90,32850
East Harlem,199,72635
Hell's Kitchen,250,91250
Bergen Beach,85,31025
Upper East Side,150,54750
Chinatown,100,36500
Midtown,399,145635
Gowanus,149,54385
East Village,250,91250
Gowanus,139,50735
Fort Greene,100,36500
Williamsburg,250,91250
Boerum Hill,174,63510
Clinton Hill,150,54750
SoHo,80,29200
Bedford-Stuyvesant,100,36500
Flatbush,75,27375
Cobble Hill,109,39785
Boerum Hill,65,23725
Middle Village,65,23725
Williamsburg,40,14600
Chelsea,189,68985
Borough Park,45,16425
Long Island City,120,43800
Lower East Side,125,45625
Bedford-Stuyvesant,45,16425
Hell's Kitchen,120,43800
Williamsburg,82,29930
Crown Heights,72,26280
Williamsburg,200,73000
Williamsburg,500,182500
East Flatbush,110,40150
Williamsburg,75,27375
South Ozone Park,64,23360
Bedford-Stuyvesant,100,36500
Maspeth,100,36500
Randall Manor,140,51100
Lower East Side,83,30295
Hell's Kitchen,200,73000
Washington Heights,125,45625
Bedford-Stuyvesant,32,11680
Woodhaven,60,21900
Crown Heights,89,32485
Astoria,90,32850
Rego Park,155,56575
Greenpoint,139,50735
Williamsburg,70,25550
Kensington,42,15330
Chinatown,85,31025
Prospect-Lefferts Gardens,860,313900
East Village,195,71175
Bedford-Stuyvesant,75,27375
SoHo,120,43800
Bedford-Stuyvesant,65,23725
Bedford-Stuyvesant,45,16425
Bedford-Stuyvesant,35,12775
Bedford-Stuyvesant,30,10950
Bedford-Stuyvesant,30,10950
Bedford-Stuyvesant,35,12775
Jackson Heights,31,11315
Concourse,100,36500
Elmhurst,42,15330
Bedford-Stuyvesant,75,27375
Prospect-Lefferts Gardens,165,60225
East Harlem,95,34675
Bedford-Stuyvesant,41,14965
Williamsburg,250,91250
Ridgewood,30,10950
Lower East Side,165,60225
Midtown,250,91250
Williamsburg,200,73000
Williamsburg,102,37230
Williamsburg,200,73000
Jamaica,60,21900
Williamsburg,102,37230
South Slope,93,33945
Upper West Side,110,40150
Bedford-Stuyvesant,70,25550
Astoria,80,29200
Oakwood,46,16790
Ridgewood,75,27375
Lower East Side,125,45625
East Village,110,40150
Upper West Side,145,52925
Williamsburg,250,91250
Hell's Kitchen,100,36500
SoHo,200,73000
Chinatown,121,44165
Midtown,330,120450
Battery Park City,650,237250
Clinton Hill,105,38325
Williamsburg,110,40150
Midtown,65,23725
Allerton,90,32850
East Harlem,109,39785
Williamsburg,68,24820
Chinatown,170,62050
Kips Bay,39,14235
Bedford-Stuyvesant,100,36500
St. Albans,298,108770
Elmhurst,180,65700
Roosevelt Island,250,91250
Williamsburg,120,43800
Elmhurst,180,65700
Sunset Park,50,18250
Williamsburg,180,65700
Harlem,40,14600
Midtown,189,68985
West Village,500,182500
Williamsburg,56,20440
Elmhurst,180,65700
East Harlem,78,28470
Cypress Hills,45,16425
Williamsburg,250,91250
Bedford-Stuyvesant,65,23725
Bedford-Stuyvesant,68,24820
East Flatbush,45,16425
Harlem,42,15330
Bedford-Stuyvesant,55,20075
Bedford-Stuyvesant,100,36500
Lower East Side,103,37595
Ridgewood,115,41975
Washington Heights,90,32850
Bushwick,85,31025
East Village,229,83585
Bedford-Stuyvesant,95,34675
Flushing,70,25550
Morningside Heights,80,29200
Upper East Side,140,51100
Rego Park,66,24090
Borough Park,20,7300
Jackson Heights,68,24820
Park Slope,108,39420
Williamsburg,143,52195
Hell's Kitchen,132,48180
Randall Manor,109,39785
Chelsea,200,73000
Hell's Kitchen,150,54750
Upper West Side,70,25550
Carroll Gardens,130,47450
Upper East Side,195,71175
Clinton Hill,191,69715
Harlem,250,91250
Lower East Side,350,127750
Lower East Side,147,53655
Bedford-Stuyvesant,50,18250
Bedford-Stuyvesant,79,28835
Greenpoint,150,54750
Bedford-Stuyvesant,70,25550
Long Island City,200,73000
Rego Park,60,21900
Greenwich Village,300,109500
Williamsburg,200,73000
Upper West Side,100,36500
Cypress Hills,200,73000
Canarsie,68,24820
East Village,55,20075
Kips Bay,39,14235
Prospect-Lefferts Gardens,2545,928925
East Elmhurst,50,18250
Financial District,160,58400
Edenwald,75,27375
West Village,399,145635
Bedford-Stuyvesant,115,41975
Harlem,150,54750
South Ozone Park,34,12410
South Ozone Park,59,21535
Flatbush,38,13870
Bedford-Stuyvesant,45,16425
Williamsburg,100,36500
Bushwick,100,36500
Mott Haven,60,21900
Carroll Gardens,155,56575
Crown Heights,120,43800
Upper East Side,275,100375
Midtown,191,69715
Chelsea,350,127750
Williamsburg,120,43800
Upper East Side,500,182500
Williamsburg,120,43800
Jamaica,485,177025
Jamaica,125,45625
Hell's Kitchen,140,51100
Jamaica,125,45625
Bedford-Stuyvesant,63,22995
Bedford-Stuyvesant,70,25550
Jamaica,180,65700
Bushwick,50,18250
Harlem,70,25550
Washington Heights,42,15330
Bedford-Stuyvesant,60,21900
Long Island City,69,25185
Washington Heights,40,14600
Bedford-Stuyvesant,120,43800
Carroll Gardens,50,18250
Harlem,92,33580
Springfield Gardens,50,18250
Murray Hill,155,56575
Williamsburg,200,73000
Edgemere,80,29200
Carroll Gardens,138,50370
Bedford-Stuyvesant,100,36500
Bayswater,151,55115
Williamsburg,85,31025
Carroll Gardens,170,62050
Bedford-Stuyvesant,81,29565
Williamsburg,150,54750
Bedford-Stuyvesant,85,31025
Theater District,62,22630
Morningside Heights,75,27375
Borough Park,40,14600
East Harlem,100,36500
Vinegar Hill,275,100375
Midtown,139,50735
Hell's Kitchen,98,35770
Cambria Heights,100,36500
Greenpoint,100,36500
Midtown,100,36500
Williamsburg,149,54385
Bushwick,75,27375
Upper West Side,260,94900
Bay Ridge,60,21900
West Village,160,58400
Fort Greene,135,49275
Bedford-Stuyvesant,60,21900
Bushwick,119,43435
Harlem,130,47450
Harlem,75,27375
East Harlem,150,54750
Park Slope,150,54750
Clinton Hill,250,91250
SoHo,200,73000
Harlem,79,28835
East Village,250,91250
Harlem,89,32485
East Village,179,65335
East Flatbush,38,13870
Astoria,25,9125
Harlem,150,54750
Bedford-Stuyvesant,43,15695
Midtown,295,107675
Carroll Gardens,215,78475
Sheepshead Bay,75,27375
East Flatbush,80,29200
Chelsea,180,65700
Kips Bay,99,36135
Kensington,200,73000
East Harlem,95,34675
Astoria,97,35405
Crown Heights,100,36500
Flushing,57,20805
Bedford-Stuyvesant,75,27375
Ditmars Steinway,45,16425
Williamsburg,299,109135
West Village,179,65335
Bushwick,160,58400
Bedford-Stuyvesant,60,21900
Canarsie,55,20075
Prospect-Lefferts Gardens,85,31025
Bedford-Stuyvesant,185,67525
Maspeth,50,18250
Corona,110,40150
East Harlem,125,45625
Williamsburg,300,109500
Jamaica,160,58400
Upper West Side,68,24820
Midtown,250,91250
Williamsburg,65,23725
Murray Hill,215,78475
Bushwick,150,54750
Mott Haven,60,21900
Flushing,500,182500
Allerton,55,20075
Lower East Side,200,73000
East Elmhurst,65,23725
Mott Haven,65,23725
Sunset Park,48,17520
East Elmhurst,38,13870
West Village,1115,406975
Harlem,80,29200
East Village,175,63875
Sunset Park,175,63875
Woodside,60,21900
Upper East Side,265,96725
Upper East Side,75,27375
Jackson Heights,58,21170
Upper West Side,310,113150
Bushwick,135,49275
Carroll Gardens,74,27010
Crown Heights,81,29565
Forest Hills,35,12775
Washington Heights,90,32850
South Slope,285,104025
Long Island City,95,34675
Williamsburg,48,17520
West Village,275,100375
East Village,650,237250
Harlem,200,73000
Williamsburg,80,29200
Bedford-Stuyvesant,100,36500
Cypress Hills,120,43800
Hell's Kitchen,150,54750
Williamsburg,90,32850
Bedford-Stuyvesant,175,63875
Little Italy,175,63875
Williamsburg,120,43800
Hell's Kitchen,135,49275
Park Slope,160,58400
East Harlem,40,14600
Harlem,95,34675
East Harlem,68,24820
Bergen Beach,49,17885
Upper East Side,105,38325
Harlem,202,73730
Kips Bay,120,43800
Tompkinsville,90,32850
Long Island City,133,48545
Morningside Heights,150,54750
Astoria,60,21900
Williamsburg,99,36135
Williamsburg,165,60225
Harlem,95,34675
Lower East Side,59,21535
Hell's Kitchen,145,52925
Harlem,95,34675
Canarsie,60,21900
East Harlem,90,32850
Bedford-Stuyvesant,60,21900
Morningside Heights,80,29200
Williamsburg,60,21900
Greenwich Village,150,54750
Bedford-Stuyvesant,50,18250
Bedford-Stuyvesant,93,33945
East New York,75,27375
Harlem,150,54750
Hell's Kitchen,107,39055
Prospect Heights,149,54385
East Village,220,80300
Bedford-Stuyvesant,65,23725
Bedford-Stuyvesant,65,23725
Chelsea,220,80300
Jamaica,50,18250
Park Slope,700,255500
Upper East Side,99,36135
Williamsburg,175,63875
Financial District,155,56575
Hell's Kitchen,219,79935
Nolita,130,47450
Bedford-Stuyvesant,70,25550
Gramercy,650,237250
Forest Hills,69,25185
Bedford-Stuyvesant,30,10950
Bushwick,42,15330
Morningside Heights,55,20075
Astoria,98,35770
Harlem,85,31025
Long Island City,120,43800
Greenwich Village,225,82125
East Village,158,57670
Harlem,130,47450
East Elmhurst,70,25550
Bushwick,70,25550
Jackson Heights,50,18250
Upper East Side,90,32850
Lower East Side,250,91250
Harlem,200,73000
Wakefield,49,17885
East Harlem,160,58400
Bedford-Stuyvesant,150,54750
Wakefield,130,47450
Hell's Kitchen,170,62050
Upper East Side,120,43800
Williamsburg,100,36500
East Flatbush,45,16425
Upper West Side,175,63875
Woodside,70,25550
Bedford-Stuyvesant,200,73000
Corona,30,10950
Financial District,195,71175
Bedford-Stuyvesant,55,20075
Washington Heights,60,21900
Bushwick,60,21900
Upper East Side,129,47085
Bushwick,95,34675
Harlem,55,20075
East Village,399,145635
Hell's Kitchen,700,255500
East Village,199,72635
Ditmars Steinway,180,65700
Spuyten Duyvil,60,21900
Bushwick,110,40150
Murray Hill,200,73000
Upper East Side,195,71175
Long Island City,165,60225
Bedford-Stuyvesant,150,54750
East Village,190,69350
Clinton Hill,64,23360
Sheepshead Bay,110,40150
Astoria,75,27375
Midwood,105,38325
Theater District,212,77380
Sunset Park,110,40150
Midtown,140,51100
Midtown,375,136875
East Harlem,74,27010
Harlem,35,12775
Crown Heights,110,40150
Williamsburg,65,23725
Midtown,110,40150
Hell's Kitchen,129,47085
Springfield Gardens,59,21535
Long Island City,150,54750
Hell's Kitchen,129,47085
Belmont,24,8760
Long Island City,40,14600
Crown Heights,349,127385
Bedford-Stuyvesant,250,91250
Flatbush,120,43800
Harlem,90,32850
Clinton Hill,125,45625
Roosevelt Island,175,63875
Gramercy,165,60225
Lower East Side,99,36135
Washington Heights,55,20075
East Flatbush,125,45625
Greenwich Village,300,109500
Crown Heights,100,36500
Greenwich Village,225,82125
Hell's Kitchen,249,90885
Bedford-Stuyvesant,37,13505
Williamsburg,295,107675
Carroll Gardens,200,73000
Bedford-Stuyvesant,43,15695
Kips Bay,100,36500
Financial District,520,189800
Greenpoint,119,43435
Harlem,45,16425
Greenpoint,119,43435
Hell's Kitchen,75,27375
Greenpoint,119,43435
Crown Heights,137,50005
Williamsburg,148,54020
Harlem,75,27375
Flatbush,40,14600
Sheepshead Bay,59,21535
Upper West Side,84,30660
Bushwick,50,18250
Bushwick,46,16790
Bushwick,35,12775
Chelsea,85,31025
Morrisania,50,18250
Columbia St,130,47450
Coney Island,101,36865
Glendale,114,41610
Parkchester,45,16425
Chelsea,175,63875
Jackson Heights,105,38325
Elmhurst,63,22995
College Point,45,16425
Bensonhurst,39,14235
West Village,165,60225
Bedford-Stuyvesant,125,45625
Jamaica,83,30295
East Flatbush,110,40150
Chelsea,250,91250
Flushing,55,20075
Midtown,314,114610
Bushwick,60,21900
Midwood,88,32120
SoHo,399,145635
Long Island City,455,166075
Astoria,100,36500
East Village,175,63875
Chinatown,68,24820
Williamsburg,300,109500
Columbia St,200,73000
Midtown,175,63875
Lower East Side,250,91250
Midtown,175,63875
Woodside,30,10950
Midtown,233,85045
Midtown,233,85045
Midtown,590,215350
Midtown,913,333245
Midtown,276,100740
Lower East Side,550,200750
Midtown,276,100740
Midtown,276,100740
Midtown,505,184325
Williamsburg,162,59130
Midtown,233,85045
Midtown,718,262070
Dyker Heights,39,14235
Prospect-Lefferts Gardens,70,25550
East Harlem,140,51100
Kips Bay,87,31755
Upper East Side,115,41975
Jackson Heights,100,36500
Prospect Heights,200,73000
Bedford-Stuyvesant,62,22630
Astoria,250,91250
Ditmars Steinway,60,21900
Jamaica,100,36500
Hell's Kitchen,70,25550
East New York,140,51100
Bushwick,44,16060
Woodside,40,14600
Hell's Kitchen,199,72635
Greenpoint,475,173375
Williamsburg,94,34310
Mott Haven,55,20075
Canarsie,50,18250
Williamsburg,300,109500
Harlem,215,78475
Greenwich Village,165,60225
Bedford-Stuyvesant,75,27375
Long Island City,113,41245
Bedford-Stuyvesant,99,36135
Murray Hill,200,73000
Sunnyside,69,25185
Park Slope,150,54750
Jackson Heights,170,62050
Flatbush,120,43800
Upper East Side,380,138700
Bedford-Stuyvesant,120,43800
Kensington,34,12410
Woodside,32,11680
Williamsburg,135,49275
Fort Greene,150,54750
Ridgewood,200,73000
Hell's Kitchen,145,52925
Harlem,132,48180
East Harlem,250,91250
Washington Heights,50,18250
Chelsea,125,45625
Ridgewood,75,27375
Lower East Side,692,252580
Long Island City,79,28835
Bedford-Stuyvesant,95,34675
Midtown,300,109500
Jackson Heights,100,36500
Carroll Gardens,147,53655
Washington Heights,35,12775
Bedford-Stuyvesant,125,45625
East Harlem,40,14600
East Flatbush,80,29200
Hell's Kitchen,105,38325
Harlem,350,127750
East New York,90,32850
Greenpoint,270,98550
Greenpoint,80,29200
Crown Heights,50,18250
Boerum Hill,300,109500
Greenpoint,195,71175
Upper West Side,200,73000
West Village,400,146000
Harlem,200,73000
Woodside,80,29200
East Harlem,98,35770
Williamsburg,150,54750
Harlem,90,32850
Upper West Side,100,36500
Upper West Side,50,18250
Upper West Side,50,18250
Kingsbridge,39,14235
Inwood,200,73000
Upper West Side,98,35770
Bushwick,85,31025
Rosedale,65,23725
East Harlem,120,43800
Bedford-Stuyvesant,64,23360
Bedford-Stuyvesant,200,73000
Upper East Side,3600,1314000
Bushwick,100,36500
Sunset Park,100,36500
Williamsburg,105,38325
Forest Hills,89,32485
Midtown,100,36500
Fort Greene,80,29200
Howard Beach,220,80300
Bedford-Stuyvesant,139,50735
Harlem,75,27375
Financial District,165,60225
Upper West Side,90,32850
Astoria,299,109135
Pelham Bay,99,36135
Woodhaven,45,16425
East Village,750,273750
Fordham,98,35770
Washington Heights,50,18250
Harlem,75,27375
Greenwich Village,250,91250
DUMBO,150,54750
Midtown,199,72635
Forest Hills,175,63875
Bushwick,42,15330
Midtown,201,73365
East Flatbush,150,54750
Greenwich Village,89,32485
Bedford-Stuyvesant,50,18250
Clinton Hill,170,62050
Williamsburg,210,76650
Woodside,110,40150
East New York,200,73000
Williamsburg,65,23725
NoHo,179,65335
Bushwick,82,29930
East Harlem,180,65700
Prospect-Lefferts Gardens,105,38325
Williamsburg,174,63510
Greenpoint,119,43435
Bedford-Stuyvesant,125,45625
Forest Hills,100,36500
Flatiron District,80,29200
Hell's Kitchen,400,146000
Bushwick,45,16425
Fort Greene,270,98550
Flushing,75,27375
Hell's Kitchen,241,87965
Greenpoint,119,43435
Harlem,95,34675
Lower East Side,225,82125
Upper West Side,70,25550
Harlem,115,41975
West Village,200,73000
Bedford-Stuyvesant,80,29200
Far Rockaway,85,31025
Lower East Side,160,58400
Bushwick,85,31025
Crown Heights,75,27375
Norwood,60,21900
Bushwick,50,18250
Park Slope,75,27375
Astoria,70,25550
Upper West Side,400,146000
Harlem,99,36135
Bedford-Stuyvesant,40,14600
Park Slope,93,33945
St. Albans,70,25550
Hell's Kitchen,85,31025
Hollis,100,36500
Bushwick,60,21900
Bushwick,50,18250
Hell's Kitchen,107,39055
Greenwich Village,43,15695
Bedford-Stuyvesant,75,27375
Bedford-Stuyvesant,65,23725
Bedford-Stuyvesant,24,8760
Upper East Side,150,54750
Financial District,325,118625
Bedford-Stuyvesant,135,49275
Financial District,267,97455
Greenpoint,249,90885
Bushwick,120,43800
West Village,130,47450
Harlem,300,109500
Harlem,100,36500
Midtown,145,52925
Jackson Heights,80,29200
Williamsburg,75,27375
Bedford-Stuyvesant,50,18250
Crown Heights,129,47085
Upper East Side,150,54750
Hell's Kitchen,275,100375
Greenpoint,100,36500
Upper East Side,150,54750
Bedford-Stuyvesant,160,58400
Clinton Hill,450,164250
Greenpoint,75,27375
Bushwick,79,28835
Gowanus,53,19345
Inwood,50,18250
Crown Heights,200,73000
East Village,350,127750
East Village,200,73000
Long Island City,85,31025
Williamsburg,200,73000
Lower East Side,75,27375
Upper West Side,249,90885
Gowanus,77,28105
Flatbush,55,20075
Flushing,43,15695
Upper West Side,90,32850
College Point,50,18250
Flatbush,60,21900
Greenpoint,95,34675
Hell's Kitchen,600,219000
Lower East Side,159,58035
Financial District,220,80300
Washington Heights,199,72635
Crown Heights,600,219000
Lower East Side,450,164250
Upper East Side,150,54750
Midtown,100,36500
Upper West Side,150,54750
Bedford-Stuyvesant,150,54750
Pelham Gardens,87,31755
Lower East Side,85,31025
Prospect Heights,110,40150
St. Albans,70,25550
Washington Heights,97,35405
West Village,269,98185
Upper East Side,255,93075
Gowanus,79,28835
Financial District,248,90520
Harlem,59,21535
Midtown,220,80300
Bushwick,170,62050
Harlem,5000,1825000
Ditmars Steinway,62,22630
Williamsburg,99,36135
Sheepshead Bay,180,65700
Crown Heights,140,51100
East Flatbush,57,20805
Sheepshead Bay,250,91250
West Village,190,69350
Tompkinsville,120,43800
Hell's Kitchen,300,109500
NoHo,179,65335
Prospect-Lefferts Gardens,135,49275
Harlem,60,21900
East Village,175,63875
Upper East Side,345,125925
Greenpoint,119,43435
Windsor Terrace,130,47450
Upper East Side,182,66430
Upper East Side,123,44895
Harlem,100,36500
Williamsburg,90,32850
Harlem,175,63875
East Flatbush,35,12775
Greenpoint,103,37595
Far Rockaway,70,25550
Midtown,100,36500
Far Rockaway,50,18250
Bedford-Stuyvesant,125,45625
Williamsburg,60,21900
Harlem,70,25550
East Harlem,110,40150
Harlem,600,219000
East Harlem,120,43800
Financial District,115,41975
DUMBO,219,79935
Chelsea,250,91250
St. Albans,135,49275
Williamsburg,90,32850
Sheepshead Bay,55,20075
Inwood,75,27375
Brooklyn Heights,100,36500
Jamaica,155,56575
Bedford-Stuyvesant,70,25550
Ditmars Steinway,85,31025
Inwood,60,21900
Bushwick,59,21535
Prospect-Lefferts Gardens,115,41975
Flushing,73,26645
Ridgewood,75,27375
Greenwich Village,275,100375
Bedford-Stuyvesant,100,36500
St. Albans,59,21535
Sunset Park,40,14600
Bedford-Stuyvesant,75,27375
St. Albans,250,91250
Bedford-Stuyvesant,28,10220
Greenpoint,150,54750
Sheepshead Bay,30,10950
Chelsea,170,62050
Flushing,90,32850
Flushing,66,24090
Washington Heights,29,10585
Williamsburg,300,109500
Harlem,120,43800
Astoria,103,37595
Ridgewood,43,15695
Bay Ridge,165,60225
Briarwood,55,20075
West Village,240,87600
Williamsburg,79,28835
Bushwick,50,18250
Greenpoint,85,31025
Harlem,68,24820
Morningside Heights,150,54750
Cypress Hills,150,54750
Upper East Side,150,54750
Rego Park,60,21900
Hell's Kitchen,499,182135
Crown Heights,60,21900
Harlem,47,17155
Upper East Side,150,54750
Upper East Side,150,54750
Hell's Kitchen,179,65335
Hell's Kitchen,199,72635
Bushwick,59,21535
Astoria,150,54750
Upper East Side,200,73000
Bedford-Stuyvesant,26,9490
Sunset Park,50,18250
Prospect-Lefferts Gardens,100,36500
Downtown Brooklyn,99,36135
Harlem,269,98185
Williamsburg,60,21900
Springfield Gardens,300,109500
Greenpoint,200,73000
Washington Heights,109,39785
Clinton Hill,250,91250
Dongan Hills,70,25550
East Village,225,82125
Crown Heights,85,31025
East Flatbush,50,18250
Harlem,99,36135
Flushing,65,23725
Park Slope,120,43800
Fort Greene,175,63875
Williamsburg,75,27375
Washington Heights,27,9855
East Harlem,160,58400
Flatbush,95,34675
West Village,340,124100
Upper West Side,100,36500
Williamsburg,75,27375
Upper West Side,80,29200
Lower East Side,195,71175
Morningside Heights,100,36500
Upper East Side,150,54750
Woodside,136,49640
Clinton Hill,250,91250
Riverdale,175,63875
Nolita,307,112055
Midtown,600,219000
Crown Heights,99,36135
Tribeca,2000,730000
Flushing,55,20075
Hell's Kitchen,215,78475
SoHo,200,73000
Hell's Kitchen,129,47085
Crown Heights,99,36135
Flushing,82,29930
Woodside,125,45625
Ridgewood,150,54750
Bedford-Stuyvesant,151,55115
Crown Heights,99,36135
Clinton Hill,98,35770
Hell's Kitchen,800,292000
Greenpoint,70,25550
Greenpoint,200,73000
Williamsburg,380,138700
SoHo,500,182500
Bushwick,50,18250
Williamsburg,149,54385
Williamsburg,73,26645
Bushwick,50,18250
Lower East Side,80,29200
West Village,170,62050
East Village,120,43800
Astoria,70,25550
Tribeca,70,25550
Theater District,400,146000
Hell's Kitchen,209,76285
Flushing,72,26280
Harlem,125,45625
Chelsea,114,41610
East Flatbush,88,32120
Hell's Kitchen,250,91250
Financial District,209,76285
Financial District,114,41610
Bedford-Stuyvesant,118,43070
Upper West Side,130,47450
Brighton Beach,50,18250
Allerton,75,27375
Brownsville,130,47450
Williamsburg,90,32850
Bedford-Stuyvesant,80,29200
Midtown,206,75190
Harlem,120,43800
Greenpoint,306,111690
Crown Heights,46,16790
Bedford-Stuyvesant,149,54385
Fieldston,50,18250
Astoria,165,60225
Upper West Side,375,136875
Chinatown,75,27375
Gramercy,259,94535
Crown Heights,210,76650
Bedford-Stuyvesant,55,20075
Crown Heights,460,167900
Greenpoint,85,31025
Murray Hill,111,40515
East Harlem,200,73000
Murray Hill,111,40515
Harlem,109,39785
Washington Heights,99,36135
Nolita,300,109500
Bushwick,70,25550
Chelsea,250,91250
Fort Greene,80,29200
Financial District,240,87600
St. Albans,35,12775
Williamsburg,200,73000
Harlem,100,36500
Nolita,160,58400
Douglaston,178,64970
Hell's Kitchen,269,98185
Claremont Village,75,27375
East Flatbush,200,73000
Bedford-Stuyvesant,42,15330
Washington Heights,40,14600
Bedford-Stuyvesant,42,15330
Hell's Kitchen,160,58400
Hell's Kitchen,130,47450
Ditmars Steinway,90,32850
East Harlem,99,36135
East Flatbush,50,18250
Clinton Hill,150,54750
Astoria,80,29200
Bedford-Stuyvesant,120,43800
Midtown,162,59130
Sheepshead Bay,60,21900
Chelsea,66,24090
Midtown,350,127750
NoHo,150,54750
Upper West Side,150,54750
Chelsea,85,31025
Harlem,50,18250
Financial District,550,200750
Flatiron District,225,82125
Harlem,70,25550
Sunset Park,75,27375
Williamsburg,195,71175
East Village,1880,686200
Harlem,63,22995
Bushwick,40,14600
Gramercy,3000,1095000
Harlem,63,22995
Bedford-Stuyvesant,150,54750
Harlem,63,22995
Nolita,165,60225
Navy Yard,50,18250
Bushwick,50,18250
Bushwick,85,31025
Flatbush,150,54750
Two Bridges,62,22630
Bedford-Stuyvesant,50,18250
Fort Greene,60,21900
Greenwich Village,299,109135
Park Slope,345,125925
East Village,92,33580
Clinton Hill,241,87965
Concourse,45,16425
Flatbush,125,45625
Port Morris,145,52925
Chinatown,275,100375
East Village,495,180675
Washington Heights,50,18250
Rego Park,40,14600
Greenpoint,195,71175
Washington Heights,50,18250
East Flatbush,69,25185
Washington Heights,120,43800
West Village,300,109500
West Village,285,104025
Bensonhurst,90,32850
Upper East Side,140,51100
Harlem,46,16790
Williamsburg,96,35040
Williamsburg,200,73000
Bushwick,37,13505
East Village,134,48910
East Flatbush,150,54750
Financial District,195,71175
Midtown,90,32850
Upper East Side,450,164250
East Harlem,100,36500
Flushing,49,17885
Upper East Side,189,68985
Hell's Kitchen,199,72635
Astoria,300,109500
Hell's Kitchen,199,72635
Hell's Kitchen,179,65335
Hell's Kitchen,179,65335
Woodside,49,17885
Bedford-Stuyvesant,75,27375
Lower East Side,95,34675
Gowanus,125,45625
South Ozone Park,72,26280
Lower East Side,75,27375
Flatbush,65,23725
Fort Greene,112,40880
Ridgewood,40,14600
Bedford-Stuyvesant,175,63875
Gowanus,44,16060
Bushwick,50,18250
Greenpoint,95,34675
Midtown,500,182500
Upper West Side,188,68620
Dyker Heights,75,27375
Lower East Side,295,107675
Upper West Side,400,146000
East Village,125,45625
East Village,139,50735
Harlem,70,25550
West Village,90,32850
Financial District,302,110230
Financial District,229,83585
Chelsea,200,73000
Upper East Side,133,48545
Hell's Kitchen,150,54750
Upper West Side,135,49275
Bedford-Stuyvesant,175,63875
Williamsburg,100,36500
Upper East Side,345,125925
Crown Heights,120,43800
Bedford-Stuyvesant,70,25550
Williamsburg,110,40150
Ditmars Steinway,100,36500
Upper West Side,120,43800
Little Italy,130,47450
Jackson Heights,35,12775
Hell's Kitchen,185,67525
Midtown,714,260610
Midtown,675,246375
Midtown,675,246375
Midtown,675,246375
Midtown,675,246375
Midtown,675,246375
Midtown,956,348940
Midtown,675,246375
Midtown,675,246375
Midtown,675,246375
Midtown,675,246375
Midtown,675,246375
Midtown,714,260610
Midtown,714,260610
Midtown,714,260610
Midtown,956,348940
Midtown,714,260610
Midtown,714,260610
Midtown,714,260610
Midtown,675,246375
Midtown,675,246375
Midtown,714,260610
Midtown,714,260610
Midtown,714,260610
Midtown,714,260610
Midtown,714,260610
Ditmars Steinway,50,18250
Crown Heights,40,14600
Flushing,59,21535
Lower East Side,115,41975
Chelsea,150,54750
Midtown,90,32850
East Harlem,220,80300
South Slope,130,47450
Clinton Hill,110,40150
Morningside Heights,266,97090
Glendale,100,36500
Upper East Side,73,26645
